ID;Facsimile;Pagenumber
id_00972;Alcedo_vol_1-0125;v1-0125
id_00973;Alcedo_vol_1-0125;v1-0125
id_00974;Alcedo_vol_1-0125;v1-0125
id_00975;Alcedo_vol_1-0125;v1-0125
id_00975a;Alcedo_vol_1-0125;v1-0125
id_00976;Alcedo_vol_1-0125;v1-0125
id_00977;Alcedo_vol_1-0125;v1-0125
id_00978;Alcedo_vol_1-0125;v1-0125
id_00979;Alcedo_vol_1-0125;v1-0125
id_00980;Alcedo_vol_1-0125;v1-0125
id_00981;Alcedo_vol_1-0125;v1-0125
id_00982;Alcedo_vol_1-0125;v1-0125
id_00983;Alcedo_vol_1-0125;v1-0125
id_00984;Alcedo_vol_1-0125;v1-0125
id_00985;Alcedo_vol_1-0126;v1-0126
id_00986;Alcedo_vol_1-0126;v1-0126
id_00987;Alcedo_vol_1-0126;v1-0126
id_00988;Alcedo_vol_1-0126;v1-0126
id_00989;Alcedo_vol_1-0126;v1-0126
id_00990;Alcedo_vol_1-0126;v1-0126
id_00991;Alcedo_vol_1-0126;v1-0126
id_00992;Alcedo_vol_1-0126;v1-0126
id_00993;Alcedo_vol_1-0126;v1-0126
id_00994;Alcedo_vol_1-0126;v1-0126
id_00995;Alcedo_vol_1-0126;v1-0126
id_00996;Alcedo_vol_1-0127;v1-0127
id_00997;Alcedo_vol_1-0127;v1-0127
id_00998;Alcedo_vol_1-0127;v1-0127
id_00999;Alcedo_vol_1-0127;v1-0127
id_01000;Alcedo_vol_1-0127;v1-0127
id_01000a;Alcedo_vol_1-0128;v1-0128
id_01001;Alcedo_vol_1-0128;v1-0128
id_01002;Alcedo_vol_1-0128;v1-0128
id_01003;Alcedo_vol_1-0128;v1-0128
id_01004;Alcedo_vol_1-0128;v1-0128
id_01005;Alcedo_vol_1-0128;v1-0128
id_01006;Alcedo_vol_1-0128;v1-0128
id_01007;Alcedo_vol_1-0128;v1-0128
id_01008;Alcedo_vol_1-0128;v1-0128
id_01009;Alcedo_vol_1-0129;v1-0129
id_01010;Alcedo_vol_1-0129;v1-0129
id_01011;Alcedo_vol_1-0129;v1-0129
id_01012;Alcedo_vol_1-0129;v1-0129
id_01013;Alcedo_vol_1-0129;v1-0129
id_01014;Alcedo_vol_1-0129;v1-0129
id_01015;Alcedo_vol_1-0129;v1-0129
id_01016;Alcedo_vol_1-0129;v1-0129
id_01017;Alcedo_vol_1-0129;v1-0129
id_01018;Alcedo_vol_1-0129;v1-0129
id_01019;Alcedo_vol_1-0130;v1-0130
id_01020;Alcedo_vol_1-0130;v1-0130
id_01021;Alcedo_vol_1-0130;v1-0130
id_01022;Alcedo_vol_1-0130;v1-0130
id_01023;Alcedo_vol_1-0130;v1-0130
id_01024;Alcedo_vol_1-0130;v1-0130
id_01025;Alcedo_vol_1-0130;v1-0130
id_01026;Alcedo_vol_1-0130;v1-0130
id_01027;Alcedo_vol_1-0131;v1-0131
id_01028;Alcedo_vol_1-0131;v1-0131
id_01029;Alcedo_vol_1-0131;v1-0131
id_01030;Alcedo_vol_1-0131;v1-0131
id_01031;Alcedo_vol_1-0132;v1-0132
id_01032;Alcedo_vol_1-0132;v1-0132
id_01033;Alcedo_vol_1-0132;v1-0132
id_01034;Alcedo_vol_1-0132;v1-0132
id_01035;Alcedo_vol_1-0132;v1-0132
id_01036;Alcedo_vol_1-0132;v1-0132
id_01037;Alcedo_vol_1-0132;v1-0132
id_01038;Alcedo_vol_1-0132;v1-0132
id_01039;Alcedo_vol_1-0132;v1-0132
id_01040;Alcedo_vol_1-0133;v1-0133
id_01041;Alcedo_vol_1-0133;v1-0133
id_01042;Alcedo_vol_1-0133;v1-0133
id_01043;Alcedo_vol_1-0133;v1-0133
id_01044;Alcedo_vol_1-0133;v1-0133
id_01045;Alcedo_vol_1-0133;v1-0133
id_01046;Alcedo_vol_1-0133;v1-0133
id_01047;Alcedo_vol_1-0133;v1-0133
id_01048;Alcedo_vol_1-0133;v1-0133
id_01049;Alcedo_vol_1-0134;v1-0134
id_01050;Alcedo_vol_1-0134;v1-0134
id_01051;Alcedo_vol_1-0134;v1-0134
id_01052;Alcedo_vol_1-0134;v1-0134
id_01053;Alcedo_vol_1-0134;v1-0134
id_01054;Alcedo_vol_1-0134;v1-0134
id_01055;Alcedo_vol_1-0135;v1-0135
id_01056;Alcedo_vol_1-0135;v1-0135
id_01057;Alcedo_vol_1-0135;v1-0135
id_01058;Alcedo_vol_1-0136;v1-0136
id_01059;Alcedo_vol_1-0136;v1-0136
