entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_05140,,Custodio,Toponym,landmark,Rio,unspecified,Brasil,TopUrbiPlace15255
id_05141,,Cusumpe,Toponym,landmark,Laguna,New Hampshire,Nueva Inglaterra,TopUrbiPlace15256
id_05142,,Cutagochi,Toponym,settlement,Pueblo de Indios,Carolina,unspecified,TopUrbiPlace15257
id_05143,,Cutawa,Toponym,landmark,Rio,North Carolina,unspecified,TopUrbiPlace15258
id_05144,,Cuteruo,Toponym,settlement,Pueblo,Cajamarca,Perú,TopUrbiPlace15259
id_05145,,Cuti,Toponym,landmark,Rio,Marañon,Brasil,TopUrbiPlace15260
id_05146,,Cutiguba,Toponym,settlement,Pueblo,Amazonas,Brasil,TopUrbiPlace15261
id_05147,,Cutiguba,Toponym,landmark,Isla,Amazonas,Amazonas,TopUrbiPlace15262
id_05148,,Cutimerin,Toponym,landmark,Rio,Marañon,Brasil,TopUrbiPlace15263
id_05149,,Santo Tomé de los Cutinanas,Toponym,settlement,Pueblo,Maynas,Quito,TopUrbiPlace15264
id_05150,,Cutquiscanas,Toponym,human_group,Nación,Panatahuas,unspecified,TopUrbiGroup15265
id_05151,,Cutubus,Toponym,settlement,Pueblo,Sonora,Nueva España,TopUrbiPlace15266
id_05152,,Cutucuche,Toponym,landmark,Rio,Latacunga,Quito,TopUrbiPlace15267
id_05153,,Cutun,Toponym,settlement,Pueblo,Coquimbo,Chile,TopUrbiPlace15268
id_05154,,Cutunlagua,Toponym,landmark,Paso,unspecified,unspecified,TopUrbiPlace15269
id_05155,,Caño de Cutupite,Toponym,landmark,Brazo,Guayana,unspecified,TopUrbiPlace15270
id_05156,,Cuxutepec,Toponym,settlement,Pueblo,San Salvador,Guatemala,TopUrbiPlace15271
id_05157,,Cuyo,Toponym,territory,Provincia,Cuyo,Chile,TopUrbiPlace15272
id_05158,,Cuyo,Toponym,landmark,Baxo,Yucatan,unspecified,TopUrbiPlace15273
id_05159,,Cuyocuyo,Toponym,settlement,Pueblo,Carabaya,Perú,TopUrbiPlace15274
id_05160,,Cuyotambo,Toponym,settlement,Pueblo,Quispicanchi,Perú,TopUrbiPlace15275
id_05161,,San Bartolomé de Cuyotepec,Toponym,settlement,Pueblo Cabecera,Oaxaca,Nueva España,TopUrbiPlace15276
id_05162,,Cuyuana,Toponym,landmark,Isla,Amazonas,Brasil,TopUrbiPlace15277
id_05163,,Cuyum,Toponym,landmark,Rio,Guayana,unspecified,TopUrbiPlace15278
id_05164,,Cuzabamba,Toponym,settlement,Pueblo,Lamas,Perú,TopUrbiPlace15279
